OlinkID	UniProt	Assay
OID20594	Q8NDB2	BANK1
OID20595	Q8TD46	CD200R1
OID20596	P08727	KRT19
OID20597	Q9HCM2	PLXNA4
OID20598	P28827	PTPRM
OID20599	P32970	CD70
OID20600	P01135	TGFA
OID20601	Q01344	IL5RA
OID20602	Q9NQ25	SLAMF7
OID20603	P41217	CD200
OID20604	P10144	GZMB
OID20605	P24001	IL32
OID20606	P42702	LIFR
OID20607	Q9UIB8	CD84
OID20608	P20340	RAB6A
OID20609	Q8WXI8	CLEC4D
OID20610	P10147	CCL3
OID20611	P50591	TNFSF10
OID20612	O15455	TLR3
OID20613	P80162	CXCL6
OID20615	P37235	HPCAL1
OID20616	P29965	CD40LG
OID20617	Q07065	CKAP4
OID20618	P68106	FKBP1B
OID20619	P22304	IDS
OID20620	O00273	DFFA
OID20621	P01137	TGFB1
OID20622	Q6UXB2	CXCL17
OID20623	Q9Y266	NUDC
OID20624	O43508	TNFSF12
OID20625	Q04637	EIF4G1
OID20626	P35613	BSG
OID20627	O60884	DNAJA2
OID20628	Q9BZW8	CD244
OID20629	Q12918	KLRB1
OID20630	P50452	SERPINB8
OID20631	P10145	CXCL8
OID20632	Q13241	KLRD1
OID20633	Q14005	IL16
OID20634	O94856	NFASC
OID20635	P40259	CD79B
OID20636	Q9BXN2	CLEC7A
OID20637	P20273	CD22
OID20638	Q9UQV4	LAMP3
OID20639	Q96LA5	FCRL2
OID20640	O43561	LAT
OID20641	P36959	GMPR
OID20642	Q15661	TPSAB1
OID20643	Q96SB3	PPP1R9B
OID20644	P30044	PRDX5
OID20645	P00813	ADA
OID20646	Q9Y6Q6	TNFRSF11A
OID20647	O95971	CD160
OID20648	P14317	HCLS1
OID20649	P30203	CD6
OID20650	P15692	VEGFA
OID20651	O75077	ADAM23
OID20652	Q13478	IL18R1
OID20653	P43489	TNFRSF4
OID20654	P02745	C1QA
OID20655	Q99616	CCL13
OID20656	P14210	HGF
OID20657	Q12866	MERTK
OID20658	O00253	AGRP
OID20660	P43234	CTSO
OID20661	P49771	FLT3LG
OID20662	O43915	VEGFD
OID20663	P12544	GZMA
OID20664	Q9H4D0	CLSTN2
OID20665	P48023	FASLG
OID20666	P29460	IL12B
OID20667	Q15517	CDSN
OID20668	P51671	CCL11
OID20669	Q16719	KYNU
OID20670	Q9HBG7	LY9
OID20671	P78556	CCL20
OID20672	P03956	MMP1
OID20673	P49763	PGF
OID20674	O15444	CCL25
OID20675	Q07325	CXCL9
OID20676	Q92484	SMPDL3A
OID20677	P21709	EPHA1
OID20678	P15260	IFNGR1
OID20679	P53634	CTSC
OID20680	Q5ZPR3	CD276
OID20681	Q9UJU6	DBNL
OID20682	P30613	PKLR
OID20683	O43639	NCK2
OID20684	P35625	TIMP3
OID20685	P47712	PLA2G4A
OID20686	O00585	CCL21
OID20687	P09238	MMP10
OID20688	P11684	SCGB1A1
OID20689	Q6UWV6	ENPP7
OID20690	Q9BZZ2	SIGLEC1
OID20691	P25116	F2R
OID20692	P09326	CD48
OID20693	P55773	CCL23
OID20694	Q14116	IL18
OID20695	P13236	CCL4
OID20696	Q08334	IL10RB
OID20697	P02778	CXCL10
OID20698	P01133	EGF
OID20699	O75462	CRLF1
OID20700	P18510	IL1RN
OID20701	Q9NZV1	CRIM1
OID20702	O14836	TNFRSF13B
OID20703	Q9BY76	ANGPTL4
OID20704	O76096	CST7
OID20705	P21860	ERBB3
OID20706	Q99435	NELL2
OID20707	P55145	MANF
OID20708	Q14210	LY6D
OID20709	P29279	CCN2
OID20710	Q9HC38	GLOD4
OID20712	Q8NFT8	DNER
OID20713	Q7KYR7	BTN2A1
OID20714	P34896	SHMT1
OID20715	O95750	FGF19
OID20716	P19256	CD58
OID20717	P29350	PTPN6
OID20718	P0DMV8	HSPA1A
OID20719	P09603	CSF1
OID20720	O43291	SPINT2
OID20721	P12532	CKMT1A_CKMT1B
OID20722	Q9Y3D6	FIS1
OID20723	Q96PL1	SCGB3A2
OID20724	P25942	CD40
OID20725	Q99983	OMD
OID20726	Q9UKU9	ANGPTL2
OID20727	P22466	GAL
OID20728	Q8WXD2	SCG3
OID20729	Q9NR12	PDLIM7
OID20730	Q9H3U7	SMOC2
OID20731	Q9NZC2	TREM2
OID20732	Q8WU39	MZB1
OID20733	O75888	TNFSF13
OID20734	Q9Y6N7	ROBO1
OID20735	O00300	TNFRSF11B
OID20736	Q9UJA9	ENPP5
OID20737	Q6GTX8	LAIR1
OID20738	Q5KU26	COLEC12
OID20739	O00241	SIRPB1
OID20740	Q15389	ANGPT1
OID20741	P01127	PDGFB
OID20742	P46109	CRKL
OID20743	P16422	EPCAM
OID20744	O43598	DNPH1
OID20745	Q92583	CCL17
OID20746	Q96KG7	MEGF10
OID20747	P24387	CRHBP
OID20748	P56470	LGALS4
OID20749	Q9H008	LHPP
OID20750	O14773	TPP1
OID20751	Q6UXH1	CRELD2
OID20752	Q99895	CTRC
OID20753	Q9NQ76	MEPE
OID20754	Q4KMG0	CDON
OID20755	Q9UHX3	ADGRE2
OID20757	P27930	IL1R2
OID20758	Q9NQ30	ESM1
OID20759	Q9HCB6	SPON1
OID20760	Q9UII2	ATP5IF1
OID20761	O75563	SKAP2
OID20762	P09341	CXCL1
OID20763	Q16651	PRSS8
OID20764	Q03405	PLAUR
OID20765	O00626	CCL22
OID20766	P51888	PRELP
OID20767	O00339	MATN2
OID20768	P36941	LTBR
OID20769	Q16363	LAMA4
OID20770	P19883	FST
OID20771	Q9BU40	CHRDL1
OID20772	O00175	CCL24
OID20773	Q99538	LGMN
OID20774	Q14118	DAG1
OID20776	Q8IYS5	OSCAR
OID20777	Q15166	PON3
OID20778	P07148	FABP1
OID20779	O95866	MPIG6B
OID20780	P15291	B4GALT1
OID20781	O00182	LGALS9
OID20782	O95633	FSTL3
OID20783	Q92956	TNFRSF14
OID20784	Q9BYZ8	REG4
OID20785	Q8TEU8	WFIKKN2
OID20786	O00468	AGRN
OID20787	Q03403	TFF2
OID20788	P19876	CXCL3
OID20789	Q13232	NME3
OID20790	Q86VW0	SESTD1
OID20791	P53539	FOSB
OID20792	Q92597	NDRG1
OID20793	A1E959	ODAM
OID20794	P60484	PTEN
OID20795	Q8IU54	IFNL1
OID20796	P51531	SMARCA2
OID20797	O14579	COPE
OID20798	P15336	ATF2
OID20799	P53985	SLC16A1
OID20800	P02533	KRT14
OID20801	P22676	CALB2
OID20803	Q4LE39	ARID4B
OID20804	Q9NSK7	C19orf12
OID20805	Q8WTV0	SCARB1
OID20806	Q9UKV5	AMFR
OID20807	P45452	MMP13
OID20809	Q6ZMJ4	IL34
OID20810	P08758	ANXA5
OID20811	P48047	ATP5PO
OID20812	Q6ZMC9	SIGLEC15
OID20813	Q6PIL6	KCNIP4
OID20814	Q6P1M0	SLC27A4
OID20815	P53582	METAP1
OID20817	Q9NRW1	RAB6B
OID20818	P05455	SSB
OID20819	O96013	PAK4
OID20821	Q8N2G4	LYPD1
OID20822	P49023	PXN
OID20823	Q9BXS1	IDI2
OID20824	P15018	LIF
OID20825	Q9H1C3	GLT8D2
OID20826	P20936	RASA1
OID20827	P51452	DUSP3
OID20828	P09769	FGR
OID20829	P14625	HSP90B1
OID20830	P10636	MAPT
OID20832	Q9UM07	PADI4
OID20833	P26440	IVD
OID20834	P29474	NOS3
OID20835	O60240	PLIN1
OID20836	P41208	CETN2
OID20837	Q9Y6E0	STK24
OID20838	Q9UJY5	GGA1
OID20839	P30039	PBLD
OID20840	Q5JZY3	EPHA10
OID20841	Q02643	GHRHR
OID20842	Q9BW30	TPPP3
OID20843	Q16864	ATP6V1F
OID20844	Q9HA65	TBC1D17
OID20845	Q96PP9	GBP4
OID20846	Q9Y680	FKBP7
OID20847	Q03393	PTS
OID20848	P01375	TNF
OID20850	Q15126	PMVK
OID20851	Q6UX27	VSTM1
OID20852	Q15043	SLC39A14
OID20853	Q9UK53	ING1
OID20854	P29466	CASP1
OID20855	Q9H0C8	ILKAP
OID20856	Q07812	BAX
OID20857	Q9Y5P4	CERT
OID20858	Q9H2W6	MRPL46
OID20859	Q9Y2V2	CARHSP1
OID20860	P13647	KRT5
OID20861	P39905	GDNF
OID20862	O94813	SLIT2
OID20863	P29475	NOS1
OID20865	Q9UBB4	ATXN10
OID20866	Q9H3R2	MUC13
OID20867	Q9NRG1	PRTFDC1
OID20869	Q13426	XRCC4
OID20870	Q15633	TARBP2
OID20871	P07196	NEFL
OID20872	P49789	FHIT
OID20873	Q6UWL6	KIRREL2
OID20875	Q9Y2W6	TDRKH
OID20877	P61244	MAX
OID20878	Q96FQ6	S100A16
OID20879	O00399	DCTN6
OID20880	Q13308	PTK7
OID20881	P23276	KEL
OID20882	Q9UPY6	WASF3
OID20883	Q8WUW1	BRK1
OID20884	O95466	FMNL1
OID20885	Q9NS71	GKN1
OID20886	Q9UJ72	ANXA10
OID20887	P30519	HMOX2
OID20888	Q86Z14	KLB
OID20889	Q6UXK2	ISLR2
OID20890	Q92917	GPKOW
OID20891	P42892	ECE1
OID20892	Q9UHV9	PFDN2
OID20893	Q92851	CASP10
OID20894	Q9NQ88	TIGAR
OID20895	Q96B36	AKT1S1
OID20896	O95994	AGR2
OID20897	P16444	DPEP1
OID20899	Q9Y4K4	MAP4K5
OID20900	O95256	IL18RAP
OID20901	P52943	CRIP2
OID20902	P63098	PPP3R1
OID20903	P14868	DARS1
OID20904	Q9Y6D9	MAD1L1
OID20905	O14944	EREG
OID20906	Q86WV1	SKAP1
OID20907	P29218	IMPA1
OID20908	P18031	PTPN1
OID20909	P36269	GGT5
OID20910	Q16740	CLPP
OID20911	P05231	IL6
OID20912	Q92932	PTPRN2
OID20913	Q9HAN9	NMNAT1
OID20914	O95727	CRTAM
OID20915	P15509	CSF2RA
OID20917	Q8NBI3	DRAXIN
OID20918	O00559	EBAG9
OID20919	Q9BZM5	ULBP2
OID20921	Q96IU4	ABHD14B
OID20922	Q8TCT1	PHOSPHO1
OID20923	P78560	CRADD
OID20924	Q08629	SPOCK1
OID20925	P09466	PAEP
OID20926	O00308	WWP2
OID20927	P07741	APRT
OID20928	Q8IUN9	CLEC10A
OID20930	Q9HD42	CHMP1A
OID20931	Q02083	NAAA
OID20932	P50453	SERPINB9
OID20933	O60609	GFRA3
OID20934	Q9UBT3	DKK4
OID20935	P52798	EFNA4
OID20936	Q2TAL6	VWC2
OID20937	Q13451	FKBP5
OID20938	Q2MKA7	RSPO1
OID20939	Q96NZ8	WFIKKN1
OID20940	Q9H5V8	CDCP1
OID20942	Q15814	TBCC
OID20943	Q14108	SCARB2
OID20944	P78333	GPC5
OID20945	Q9Y6Y9	LY96
OID20946	O43155	FLRT2
OID20947	Q9H3S3	TMPRSS5
OID20948	Q53H47	SETMAR
OID20949	P16278	GLB1
OID20950	P08134	RHOC
OID20951	Q8NFP4	MDGA1
OID20952	P40222	TXLNA
OID20953	O43557	TNFSF14
OID20954	P48740	MASP1
OID20955	O95630	STAMBP
OID20956	Q6XZF7	DNMBP
OID20957	Q92752	TNR
OID20958	Q6P1N0	CC2D1A
OID20959	Q8WV92	MITD1
OID20960	Q02790	FKBP4
OID20961	P06748	NPM1
OID20962	Q06830	PRDX1
OID20963	P22079	LPO
OID20964	O95407	TNFRSF6B
OID20965	Q6ISS4	LAIR2
OID20966	Q9NZQ7	CD274
OID20967	O00220	TNFRSF10A
OID20968	Q92765	FRZB
